area,region,branch,wok,eznet_today,eznet_mtd,eznet_lastmtd,onedynamic_today,onedynamic_mtd,onedynamic_lastmtd,other_today,other_mtd,other_lastmtd,total_today,total_mtd,total_lastmtd,contribution_sp,mom
AREA 3,JATIM,LAMONGAN,TUBAN BOJONEGORO,0,0,0,0,0,0,14,105,79,14,105,79,0.00%,32.91%
AREA 3,JATIM,MALANG,MALANG UTARA,0,0,0,0,0,0,36,170,140,36,170,140,0.00%,21.43%
AREA 3,JATIM,SURABAYA,BANGKALAN SAMPANG,0,0,0,0,0,0,26,170,110,26,170,110,0.00%,54.55%
AREA 4,KALIMANTAN,PANGKALAN BUN,KETAPANG,0,0,0,0,0,0,25,144,102,25,144,102,0.00%,41.18%
AREA 4,PUMA,JAYAPURA,JAYAPURA INNER,0,0,0,0,0,0,27,133,120,27,133,120,0.00%,10.83%
AREA 4,SULAWESI,KENDARI,KOLAKA KONAWE,0,0,0,0,0,0,23,127,86,23,127,86,0.00%,47.67%
AREA 4,SULAWESI,MANADO,GORONTALO - PAHUWATO,0,0,1,0,0,0,39,181,121,39,181,122,0.00%,48.36%
AREA 4,SULAWESI,PALU,BANGGAI - MOROWALI,0,0,0,0,0,0,16,99,63,16,99,63,0.00%,57.14%
AREA 4,SULAWESI,PALU,PALU DONGGALA,0,0,0,0,0,0,28,202,212,28,202,212,0.00%,-4.72%
AREA 4,SULAWESI,PARE-PARE,TORAJA,0,0,0,0,0,0,7,55,50,7,55,50,0.00%,10.00%
